player_ranking,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,opponent_name,match_win_loss,match_score
2,2003,ATP Masters Series Cincinnati,"Cincinnati, OH, U.S.A.",2003.08.11 - 2003.08.17,Outdoor,Hard,David Nalbandian,L,67(4) 67(5) 
2,2003,ATP Masters Series Cincinnati,"Cincinnati, OH, U.S.A.",2003.08.11 - 2003.08.17,Outdoor,Hard,Scott Draper,W,46 63 76(10) 
3,2003,ATP Masters Series Canada,"Montreal, Canada",2003.08.04 - 2003.08.10,Outdoor,Hard,Andy Roddick,L,46 63 67(3) 
3,2003,ATP Masters Series Canada,"Montreal, Canada",2003.08.04 - 2003.08.10,Outdoor,Hard,Max Mirnyi,W,62 76(3) 
3,2003,ATP Masters Series Canada,"Montreal, Canada",2003.08.04 - 2003.08.10,Outdoor,Hard,Tommy Robredo,W,64 63
3,2003,ATP Masters Series Canada,"Montreal, Canada",2003.08.04 - 2003.08.10,Outdoor,Hard,Greg Rusedski,W,64 63
3,2003,ATP Masters Series Canada,"Montreal, Canada",2003.08.04 - 2003.08.10,Outdoor,Hard,Gaston Gaudio,W,64 36 75
3,2003,Gstaad,"Gstaad, Switzerland",2003.07.07 - 2003.07.13,Outdoor,Clay,Jiri Novak,L,75 36 36 61 36
3,2003,Gstaad,"Gstaad, Switzerland",2003.07.07 - 2003.07.13,Outdoor,Clay,Gaston Gaudio,W,61 76(6) 
3,2003,Gstaad,"Gstaad, Switzerland",2003.07.07 - 2003.07.13,Outdoor,Clay,David Sanchez,W,(W/O)
3,2003,Gstaad,"Gstaad, Switzerland",2003.07.07 - 2003.07.13,Outdoor,Clay,Jean-Rene Lisnard,W,61 62
3,2003,Gstaad,"Gstaad, Switzerland",2003.07.07 - 2003.07.13,Outdoor,Clay,Marc Lopez,W,63 67(4) 63
5,2003,Wimbledon,"London, England",2003.06.23 - 2003.07.06,Outdoor,Grass,Mark Philippoussis,W,76(5) 62 76(3) 
5,2003,Wimbledon,"London, England",2003.06.23 - 2003.07.06,Outdoor,Grass,Andy Roddick,W,76(6) 63 63
5,2003,Wimbledon,"London, England",2003.06.23 - 2003.07.06,Outdoor,Grass,Sjeng Schalken,W,63 64 64
5,2003,Wimbledon,"London, England",2003.06.23 - 2003.07.06,Outdoor,Grass,Feliciano Lopez,W,76(5) 64 64
5,2003,Wimbledon,"London, England",2003.06.23 - 2003.07.06,Outdoor,Grass,Mardy Fish,W,63 61 46 61
5,2003,Wimbledon,"London, England",2003.06.23 - 2003.07.06,Outdoor,Grass,Stefan Koubek,W,75 61 61
5,2003,Wimbledon,"London, England",2003.06.23 - 2003.07.06,Outdoor,Grass,Hyung-Taik Lee,W,63 63 76(2) 
5,2003,Halle,"Halle, Germany",2003.06.09 - 2003.06.15,Outdoor,Grass,Nicolas Kiefer,W,61 63
5,2003,Halle,"Halle, Germany",2003.06.09 - 2003.06.15,Outdoor,Grass,Mikhail Youzhny,W,46 76(4) 62
5,2003,Halle,"Halle, Germany",2003.06.09 - 2003.06.15,Outdoor,Grass,Younes El Aynaoui,W,75 76(3) 
5,2003,Halle,"Halle, Germany",2003.06.09 - 2003.06.15,Outdoor,Grass,Fernando Vicente,W,46 62 61
5,2003,Halle,"Halle, Germany",2003.06.09 - 2003.06.15,Outdoor,Grass,Sargis Sargsian,W,75 61
5,2003,Roland Garros,"Paris, France",2003.05.26 - 2003.06.08,Outdoor,Clay,Luis Horna,L,67(6) 26 67(3) 
5,2003,ATP Masters Series Hamburg,"Hamburg, Germany",2003.05.12 - 2003.05.18,Outdoor,Clay,Mark Philippoussis,L,36 62 36
5,2003,ATP Masters Series Hamburg,"Hamburg, Germany",2003.05.12 - 2003.05.18,Outdoor,Clay,Sargis Sargsian,W,61 61
5,2003,ATP Masters Series Hamburg,"Hamburg, Germany",2003.05.12 - 2003.05.18,Outdoor,Clay,Max Mirnyi,W,63 63
5,2003,ATP Masters Series Rome,"Rome, Italy",2003.05.05 - 2003.05.11,Outdoor,Clay,Felix Mantilla,L,57 26 67(8) 
5,2003,ATP Masters Series Rome,"Rome, Italy",2003.05.05 - 2003.05.11,Outdoor,Clay,Juan Carlos Ferrero,W,64 42 (RET)
5,2003,ATP Masters Series Rome,"Rome, Italy",2003.05.05 - 2003.05.11,Outdoor,Clay,Filippo Volandri,W,63 57 62
5,2003,ATP Masters Series Rome,"Rome, Italy",2003.05.05 - 2003.05.11,Outdoor,Clay,Tommy Robredo,W,61 61
5,2003,ATP Masters Series Rome,"Rome, Italy",2003.05.05 - 2003.05.11,Outdoor,Clay,Mariano Zabaleta,W,76(4) 62
5,2003,ATP Masters Series Rome,"Rome, Italy",2003.05.05 - 2003.05.11,Outdoor,Clay,Paul-Henri Mathieu,W,63 75
5,2003,Munich,"Munich, Germany",2003.04.28 - 2003.05.04,Outdoor,Clay,Jarkko Nieminen,W,61 64
5,2003,Munich,"Munich, Germany",2003.04.28 - 2003.05.04,Outdoor,Clay,Stefan Koubek,W,62 61
5,2003,Munich,"Munich, Germany",2003.04.28 - 2003.05.04,Outdoor,Clay,Mikhail Youzhny,W,62 63
5,2003,Munich,"Munich, Germany",2003.04.28 - 2003.05.04,Outdoor,Clay,Raemon Sluiter,W,64 63
5,2003,Munich,"Munich, Germany",2003.04.28 - 2003.05.04,Outdoor,Clay,Zeljko Krajan,W,64 63
5,2003,FRA v SUI WG Qtrs,Toulouse,2003.03.31 - 2003.04.06,Indoor,Hard,Fabrice Santoro,W,61 60 62
5,2003,FRA v SUI WG Qtrs,Toulouse,2003.03.31 - 2003.04.06,Indoor,Hard,Nicolas Escude,W,64 75 62
4,2003,ATP Masters Series Miami,"Miami, FL, U.S.A.",2003.03.17 - 2003.03.30,Outdoor,Hard,Albert Costa,L,67(4) 64 67(7) 
4,2003,ATP Masters Series Miami,"Miami, FL, U.S.A.",2003.03.17 - 2003.03.30,Outdoor,Hard,Sjeng Schalken,W,63 62
4,2003,ATP Masters Series Miami,"Miami, FL, U.S.A.",2003.03.17 - 2003.03.30,Outdoor,Hard,Juan Ignacio Chela,W,61 36 61
4,2003,ATP Masters Series Miami,"Miami, FL, U.S.A.",2003.03.17 - 2003.03.30,Outdoor,Hard,Luis Horna,W,62 75
4,2003,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2003.03.10 - 2003.03.16,Outdoor,Hard,Gustavo Kuerten,L,57 67(3) 
4,2003,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2003.03.10 - 2003.03.16,Outdoor,Hard,Felix Mantilla,W,67(4) 64 41 (RET)
5,2003,Dubai,"Dubai, U.A.E.",2003.02.24 - 2003.03.02,Outdoor,Hard,Jiri Novak,W,61 76(2) 
5,2003,Dubai,"Dubai, U.A.E.",2003.02.24 - 2003.03.02,Outdoor,Hard,Ivan Ljubicic,W,63 62
5,2003,Dubai,"Dubai, U.A.E.",2003.02.24 - 2003.03.02,Outdoor,Hard,Hicham Arazi,W,75 63
5,2003,Dubai,"Dubai, U.A.E.",2003.02.24 - 2003.03.02,Outdoor,Hard,Maximilian Abel,W,64 75
5,2003,Dubai,"Dubai, U.A.E.",2003.02.24 - 2003.03.02,Outdoor,Hard,Irakli Labadze,W,63 63
5,2003,Rotterdam,"Rotterdam, Netherlands",2003.02.17 - 2003.02.23,Indoor,Hard,Max Mirnyi,L,75 36 46
5,2003,Rotterdam,"Rotterdam, Netherlands",2003.02.17 - 2003.02.23,Indoor,Hard,Sjeng Schalken,W,62 64
5,2003,Rotterdam,"Rotterdam, Netherlands",2003.02.17 - 2003.02.23,Indoor,Hard,Fabrice Santoro,W,60 64
5,2003,Rotterdam,"Rotterdam, Netherlands",2003.02.17 - 2003.02.23,Indoor,Hard,Thomas Enqvist,W,36 63 64
6,2003,Marseille,"Marseille, France",2003.02.10 - 2003.02.16,Indoor,Hard,Jonas Bjorkman,W,62 76(6) 
6,2003,Marseille,"Marseille, France",2003.02.10 - 2003.02.16,Indoor,Hard,Karol Kucera,W,76(5) 63
6,2003,Marseille,"Marseille, France",2003.02.10 - 2003.02.16,Indoor,Hard,Raemon Sluiter,W,64 46 64
6,2003,Marseille,"Marseille, France",2003.02.10 - 2003.02.16,Indoor,Hard,Jarkko Nieminen,W,63 63
6,2003,Marseille,"Marseille, France",2003.02.10 - 2003.02.16,Indoor,Hard,Ivan Ljubicic,W,76(3) (RET)
6,2003,NED v. SUI WG 1st RD,The Netherlands,2003.02.03 - 2003.02.09,Indoor,Carpet,Sjeng Schalken,W,76(2) 64 75
6,2003,NED v. SUI WG 1st RD,The Netherlands,2003.02.03 - 2003.02.09,Indoor,Carpet,Raemon Sluiter,W,62 61 63
6,2003,Australian Open,"Melbourne, Australia",2003.01.13 - 2003.01.26,Outdoor,Hard,David Nalbandian,L,46 63 16 61 36
6,2003,Australian Open,"Melbourne, Australia",2003.01.13 - 2003.01.26,Outdoor,Hard,Andreas Vinciguerra,W,63 64 62
6,2003,Australian Open,"Melbourne, Australia",2003.01.13 - 2003.01.26,Outdoor,Hard,Lars Burgsmuller,W,63 60 63
6,2003,Australian Open,"Melbourne, Australia",2003.01.13 - 2003.01.26,Outdoor,Hard,Flavio Saretta,W,76(4) 75 63
6,2003,Sydney,"Sydney, Australia",2003.01.06 - 2003.01.12,Outdoor,Hard,Franco Squillari,L,26 36
6,2003,Doha,"Doha, Qatar",2002.12.30 - 2003.01.05,Outdoor,Hard,Jan-Michael Gambill,L,46 57
6,2003,Doha,"Doha, Qatar",2002.12.30 - 2003.01.05,Outdoor,Hard,Michel Kratochvil,W,64 64
6,2003,Doha,"Doha, Qatar",2002.12.30 - 2003.01.05,Outdoor,Hard,Andrei Stoliarov,W,62 67(4) 64
1,2004,Tennis Masters Cup,"Houston, TX, USA",2004.11.15 - 2004.11.21,Outdoor,Hard,Lleyton Hewitt,W,63 62
1,2004,Tennis Masters Cup,"Houston, TX, USA",2004.11.15 - 2004.11.21,Outdoor,Hard,Marat Safin,W,63 76(18) 
1,2004,Tennis Masters Cup,"Houston, TX, USA",2004.11.15 - 2004.11.21,Outdoor,Hard,Carlos Moya,W,63 36 63
1,2004,Tennis Masters Cup,"Houston, TX, USA",2004.11.15 - 2004.11.21,Outdoor,Hard,Lleyton Hewitt,W,63 64
1,2004,Tennis Masters Cup,"Houston, TX, USA",2004.11.15 - 2004.11.21,Outdoor,Hard,Gaston Gaudio,W,61 76(4) 
1,2004,Bangkok,"Bangkok, Thailand",2004.09.27 - 2004.10.03,Indoor,Hard,Andy Roddick,W,64 60
1,2004,Bangkok,"Bangkok, Thailand",2004.09.27 - 2004.10.03,Indoor,Hard,Paradorn Srichaphan,W,75 26 63
1,2004,Bangkok,"Bangkok, Thailand",2004.09.27 - 2004.10.03,Indoor,Hard,Robin Soderling,W,76(3) 64
1,2004,Bangkok,"Bangkok, Thailand",2004.09.27 - 2004.10.03,Indoor,Hard,Ivo Heuberger,W,61 63
1,2004,Bangkok,"Bangkok, Thailand",2004.09.27 - 2004.10.03,Indoor,Hard,Nicolas Thomann,W,64 76(4) 
1,2004,US Open,"New York, NY, U.S.A.",2004.08.30 - 2004.09.12,Outdoor,Hard,Lleyton Hewitt,W,60 76(3) 60
1,2004,US Open,"New York, NY, U.S.A.",2004.08.30 - 2004.09.12,Outdoor,Hard,Tim Henman,W,63 64 64
1,2004,US Open,"New York, NY, U.S.A.",2004.08.30 - 2004.09.12,Outdoor,Hard,Andre Agassi,W,63 26 75 36 63
1,2004,US Open,"New York, NY, U.S.A.",2004.08.30 - 2004.09.12,Outdoor,Hard,Andrei Pavel,W,(W/O)
1,2004,US Open,"New York, NY, U.S.A.",2004.08.30 - 2004.09.12,Outdoor,Hard,Fabrice Santoro,W,60 64 76(7) 
1,2004,US Open,"New York, NY, U.S.A.",2004.08.30 - 2004.09.12,Outdoor,Hard,Marcos Baghdatis,W,62 67(4) 63 61
1,2004,US Open,"New York, NY, U.S.A.",2004.08.30 - 2004.09.12,Outdoor,Hard,Albert Costa,W,75 62 64
1,2004,Athens Olympics,"Athens, Greece",2004.08.16 - 2004.08.22,Outdoor,Hard,Tomas Berdych,L,64 57 57
1,2004,Athens Olympics,"Athens, Greece",2004.08.16 - 2004.08.22,Outdoor,Hard,Nikolay Davydenko,W,63 57 61
1,2004,ATP Masters Series Cincinnati,"Cincinnati, OH, U.S.A.",2004.08.02 - 2004.08.08,Outdoor,Hard,Dominik Hrbaty,L,61 67(7) 46
1,2004,ATP Masters Series Canada,"Toronto, Canada",2004.07.26 - 2004.08.01,Outdoor,Hard,Andy Roddick,W,75 63
1,2004,ATP Masters Series Canada,"Toronto, Canada",2004.07.26 - 2004.08.01,Outdoor,Hard,Thomas Johansson,W,46 63 62
1,2004,ATP Masters Series Canada,"Toronto, Canada",2004.07.26 - 2004.08.01,Outdoor,Hard,Fabrice Santoro,W,75 64
1,2004,ATP Masters Series Canada,"Toronto, Canada",2004.07.26 - 2004.08.01,Outdoor,Hard,Max Mirnyi,W,76(3) 76(4) 
1,2004,ATP Masters Series Canada,"Toronto, Canada",2004.07.26 - 2004.08.01,Outdoor,Hard,Robin Soderling,W,75 61
1,2004,ATP Masters Series Canada,"Toronto, Canada",2004.07.26 - 2004.08.01,Outdoor,Hard,Hicham Arazi,W,63 75
1,2004,Gstaad,"Gstaad, Switzerland",2004.07.05 - 2004.07.11,Outdoor,Clay,Igor Andreev,W,62 63 57 63
1,2004,Gstaad,"Gstaad, Switzerland",2004.07.05 - 2004.07.11,Outdoor,Clay,Potito Starace,W,63 36 63
1,2004,Gstaad,"Gstaad, Switzerland",2004.07.05 - 2004.07.11,Outdoor,Clay,Radek Stepanek,W,61 57 64
1,2004,Gstaad,"Gstaad, Switzerland",2004.07.05 - 2004.07.11,Outdoor,Clay,Ivo Karlovic,W,67(5) 63 76(4) 
1,2004,Gstaad,"Gstaad, Switzerland",2004.07.05 - 2004.07.11,Outdoor,Clay,Tomas Behrend,W,61 61
1,2004,Wimbledon,"London, England",2004.06.21 - 2004.07.04,Outdoor,Grass,Andy Roddick,W,46 75 76(3) 64
1,2004,Wimbledon,"London, England",2004.06.21 - 2004.07.04,Outdoor,Grass,Sebastien Grosjean,W,62 63 76(6) 
1,2004,Wimbledon,"London, England",2004.06.21 - 2004.07.04,Outdoor,Grass,Lleyton Hewitt,W,61 67(1) 60 64
1,2004,Wimbledon,"London, England",2004.06.21 - 2004.07.04,Outdoor,Grass,Ivo Karlovic,W,63 76(3) 76(5) 
1,2004,Wimbledon,"London, England",2004.06.21 - 2004.07.04,Outdoor,Grass,Thomas Johansson,W,63 64 63
1,2004,Wimbledon,"London, England",2004.06.21 - 2004.07.04,Outdoor,Grass,Alejandro Falla,W,61 62 60
1,2004,Wimbledon,"London, England",2004.06.21 - 2004.07.04,Outdoor,Grass,Alex Bogdanovic,W,63 63 60
1,2004,Halle,"Halle, Germany",2004.06.07 - 2004.06.13,Outdoor,Grass,Mardy Fish,W,60 63
1,2004,Halle,"Halle, Germany",2004.06.07 - 2004.06.13,Outdoor,Grass,Jiri Novak,W,63 64
1,2004,Halle,"Halle, Germany",2004.06.07 - 2004.06.13,Outdoor,Grass,Arnaud Clement,W,63 75
1,2004,Halle,"Halle, Germany",2004.06.07 - 2004.06.13,Outdoor,Grass,Mikhail Youzhny,W,62 61
1,2004,Halle,"Halle, Germany",2004.06.07 - 2004.06.13,Outdoor,Grass,Thomas Johansson,W,63 62
1,2004,Roland Garros,"Paris, France",2004.05.24 - 2004.06.06,Outdoor,Clay,Gustavo Kuerten,L,46 46 46
1,2004,Roland Garros,"Paris, France",2004.05.24 - 2004.06.06,Outdoor,Clay,Nicolas Kiefer,W,63 64 76(6) 
1,2004,Roland Garros,"Paris, France",2004.05.24 - 2004.06.06,Outdoor,Clay,Kristof Vliegen,W,61 62 61
1,2004,ATP Masters Series Hamburg,"Hamburg, Germany",2004.05.10 - 2004.05.16,Outdoor,Clay,Guillermo Coria,W,46 64 62 63
1,2004,ATP Masters Series Hamburg,"Hamburg, Germany",2004.05.10 - 2004.05.16,Outdoor,Clay,Lleyton Hewitt,W,60 64
1,2004,ATP Masters Series Hamburg,"Hamburg, Germany",2004.05.10 - 2004.05.16,Outdoor,Clay,Carlos Moya,W,64 63
1,2004,ATP Masters Series Hamburg,"Hamburg, Germany",2004.05.10 - 2004.05.16,Outdoor,Clay,Fernando Gonzalez,W,75 61
1,2004,ATP Masters Series Hamburg,"Hamburg, Germany",2004.05.10 - 2004.05.16,Outdoor,Clay,Nicolas Lapentti,W,63 63
1,2004,ATP Masters Series Hamburg,"Hamburg, Germany",2004.05.10 - 2004.05.16,Outdoor,Clay,Gaston Gaudio,W,61 57 64
1,2004,ATP Masters Series Rome,"Rome, Italy",2004.05.03 - 2004.05.09,Outdoor,Clay,Albert Costa,L,63 36 26
1,2004,ATP Masters Series Rome,"Rome, Italy",2004.05.03 - 2004.05.09,Outdoor,Clay,Jonas Bjorkman,W,76(4) 63
1,2004,SUI v. FRA WG Qtrs,"Prilly, Switzerland",2004.04.05 - 2004.04.11,Indoor,Hard,Arnaud Clement,W,62 75 64
1,2004,SUI v. FRA WG Qtrs,"Prilly, Switzerland",2004.04.05 - 2004.04.11,Indoor,Hard,Nicolas Escude,W,62 64 64
1,2004,ATP Masters Series Miami,"Miami, FL, U.S.A.",2004.03.22 - 2004.04.04,Outdoor,Hard,Rafael Nadal,L,36 36
1,2004,ATP Masters Series Miami,"Miami, FL, U.S.A.",2004.03.22 - 2004.04.04,Outdoor,Hard,Nikolay Davydenko,W,62 36 75
1,2004,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2004.03.08 - 2004.03.21,Outdoor,Hard,Tim Henman,W,63 63
1,2004,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2004.03.08 - 2004.03.21,Outdoor,Hard,Andre Agassi,W,46 63 64
1,2004,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2004.03.08 - 2004.03.21,Outdoor,Hard,Juan Ignacio Chela,W,62 61
1,2004,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2004.03.08 - 2004.03.21,Outdoor,Hard,Mardy Fish,W,64 61
1,2004,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2004.03.08 - 2004.03.21,Outdoor,Hard,Fernando Gonzalez,W,63 62
1,2004,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2004.03.08 - 2004.03.21,Outdoor,Hard,Andrei Pavel,W,61 61
1,2004,Dubai,"Dubai, U.A.E.",2004.03.01 - 2004.03.07,Outdoor,Hard,Feliciano Lopez,W,46 61 62
1,2004,Dubai,"Dubai, U.A.E.",2004.03.01 - 2004.03.07,Outdoor,Hard,Jarkko Nieminen,W,76(7) 62
1,2004,Dubai,"Dubai, U.A.E.",2004.03.01 - 2004.03.07,Outdoor,Hard,Andrei Pavel,W,63 63
1,2004,Dubai,"Dubai, U.A.E.",2004.03.01 - 2004.03.07,Outdoor,Hard,Tommy Robredo,W,63 64
1,2004,Dubai,"Dubai, U.A.E.",2004.03.01 - 2004.03.07,Outdoor,Hard,Marat Safin,W,76(2) 76(4) 
1,2004,Rotterdam,"Rotterdam, Netherlands",2004.02.16 - 2004.02.22,Indoor,Hard,Tim Henman,L,36 67(9) 
1,2004,Rotterdam,"Rotterdam, Netherlands",2004.02.16 - 2004.02.22,Indoor,Hard,Andrei Pavel,W,76(2) 75
1,2004,Rotterdam,"Rotterdam, Netherlands",2004.02.16 - 2004.02.22,Indoor,Hard,Arnaud Clement,W,64 63
1,2004,ROM v. SUI WG 1st RD,Romania,2004.02.02 - 2004.02.08,Indoor,Clay,Andrei Pavel,W,63 62 75
1,2004,ROM v. SUI WG 1st RD,Romania,2004.02.02 - 2004.02.08,Indoor,Clay,Victor Hanescu,W,76(4) 63 61
2,2004,Australian Open,"Melbourne, Australia",2004.01.19 - 2004.02.01,Outdoor,Hard,Marat Safin,W,76(3) 64 62
2,2004,Australian Open,"Melbourne, Australia",2004.01.19 - 2004.02.01,Outdoor,Hard,Juan Carlos Ferrero,W,64 61 64
2,2004,Australian Open,"Melbourne, Australia",2004.01.19 - 2004.02.01,Outdoor,Hard,David Nalbandian,W,75 64 57 63
2,2004,Australian Open,"Melbourne, Australia",2004.01.19 - 2004.02.01,Outdoor,Hard,Lleyton Hewitt,W,46 63 60 64
2,2004,Australian Open,"Melbourne, Australia",2004.01.19 - 2004.02.01,Outdoor,Hard,Todd Reid,W,63 60 61
2,2004,Australian Open,"Melbourne, Australia",2004.01.19 - 2004.02.01,Outdoor,Hard,Jeff Morrison,W,62 63 64
2,2004,Australian Open,"Melbourne, Australia",2004.01.19 - 2004.02.01,Outdoor,Hard,Alex Bogomolov Jr.,W,63 64 60
1,2005,Tennis Masters Cup,"Shanghai, China",2005.11.14 - 2005.11.20,Indoor,Carpet,David Nalbandian,L,76(4) 76(11) 26 16 67(3) 
1,2005,Tennis Masters Cup,"Shanghai, China",2005.11.14 - 2005.11.20,Indoor,Carpet,Gaston Gaudio,W,60 60
1,2005,Tennis Masters Cup,"Shanghai, China",2005.11.14 - 2005.11.20,Indoor,Carpet,Guillermo Coria,W,60 16 62
1,2005,Tennis Masters Cup,"Shanghai, China",2005.11.14 - 2005.11.20,Indoor,Carpet,Ivan Ljubicic,W,63 26 76(4) 
1,2005,Tennis Masters Cup,"Shanghai, China",2005.11.14 - 2005.11.20,Indoor,Carpet,David Nalbandian,W,63 26 64
1,2005,Bangkok,"Bangkok, Thailand",2005.09.26 - 2005.10.02,Indoor,Hard,Andy Murray,W,63 75
1,2005,Bangkok,"Bangkok, Thailand",2005.09.26 - 2005.10.02,Indoor,Hard,Jarkko Nieminen,W,63 64
1,2005,Bangkok,"Bangkok, Thailand",2005.09.26 - 2005.10.02,Indoor,Hard,Gilles Muller,W,64 63
1,2005,Bangkok,"Bangkok, Thailand",2005.09.26 - 2005.10.02,Indoor,Hard,Denis Gremelmayr,W,63 62
1,2005,Bangkok,"Bangkok, Thailand",2005.09.26 - 2005.10.02,Indoor,Hard,Marcos Daniel,W,76(4) 64
1,2005,SUI vs. GBR WG PO,"Geneva, Switzerland",2005.09.19 - 2005.09.25,Indoor,Clay,Alan Mackin,W,60 60 62
1,2005,US Open,"New York, NY, U.S.A.",2005.08.29 - 2005.09.11,Outdoor,Hard,Andre Agassi,W,63 26 76(1) 61
1,2005,US Open,"New York, NY, U.S.A.",2005.08.29 - 2005.09.11,Outdoor,Hard,Lleyton Hewitt,W,63 76 46 63
1,2005,US Open,"New York, NY, U.S.A.",2005.08.29 - 2005.09.11,Outdoor,Hard,David Nalbandian,W,62 64 61
1,2005,US Open,"New York, NY, U.S.A.",2005.08.29 - 2005.09.11,Outdoor,Hard,Nicolas Kiefer,W,64 67(3) 63 64
1,2005,US Open,"New York, NY, U.S.A.",2005.08.29 - 2005.09.11,Outdoor,Hard,Olivier Rochus,W,63 76(6) 62
1,2005,US Open,"New York, NY, U.S.A.",2005.08.29 - 2005.09.11,Outdoor,Hard,Fabrice Santoro,W,75 75 76(2) 
1,2005,US Open,"New York, NY, U.S.A.",2005.08.29 - 2005.09.11,Outdoor,Hard,Ivo Minar,W,61 61 61
1,2005,ATP World Tour Masters 1000 Cincinnati,"Cincinnati, OH, U.S.A.",2005.08.15 - 2005.08.21,Outdoor,Hard,Andy Roddick,W,63 75
1,2005,ATP World Tour Masters 1000 Cincinnati,"Cincinnati, OH, U.S.A.",2005.08.15 - 2005.08.21,Outdoor,Hard,Robby Ginepri,W,46 75 64
1,2005,ATP World Tour Masters 1000 Cincinnati,"Cincinnati, OH, U.S.A.",2005.08.15 - 2005.08.21,Outdoor,Hard,Jose Acasuso,W,64 63
1,2005,ATP World Tour Masters 1000 Cincinnati,"Cincinnati, OH, U.S.A.",2005.08.15 - 2005.08.21,Outdoor,Hard,Olivier Rochus,W,63 64
1,2005,ATP World Tour Masters 1000 Cincinnati,"Cincinnati, OH, U.S.A.",2005.08.15 - 2005.08.21,Outdoor,Hard,Nicolas Kiefer,W,46 64 64
1,2005,ATP World Tour Masters 1000 Cincinnati,"Cincinnati, OH, U.S.A.",2005.08.15 - 2005.08.21,Outdoor,Hard,James Blake,W,76(3) 75
1,2005,Wimbledon,"London, England",2005.06.20 - 2005.07.03,Outdoor,Grass,Andy Roddick,W,62 76(2) 64
1,2005,Wimbledon,"London, England",2005.06.20 - 2005.07.03,Outdoor,Grass,Lleyton Hewitt,W,63 64 76(4) 
1,2005,Wimbledon,"London, England",2005.06.20 - 2005.07.03,Outdoor,Grass,Fernando Gonzalez,W,75 62 76(2) 
1,2005,Wimbledon,"London, England",2005.06.20 - 2005.07.03,Outdoor,Grass,Juan Carlos Ferrero,W,63 64 76(6) 
1,2005,Wimbledon,"London, England",2005.06.20 - 2005.07.03,Outdoor,Grass,Nicolas Kiefer,W,62 67(5) 61 75
1,2005,Wimbledon,"London, England",2005.06.20 - 2005.07.03,Outdoor,Grass,Ivo Minar,W,64 64 61
1,2005,Wimbledon,"London, England",2005.06.20 - 2005.07.03,Outdoor,Grass,Paul-Henri Mathieu,W,64 62 64
1,2005,Halle,"Halle, Germany",2005.06.06 - 2005.06.12,Outdoor,Grass,Marat Safin,W,64 67(6) 64
1,2005,Halle,"Halle, Germany",2005.06.06 - 2005.06.12,Outdoor,Grass,Tommy Haas,W,64 76(9) 
1,2005,Halle,"Halle, Germany",2005.06.06 - 2005.06.12,Outdoor,Grass,Philipp Kohlschreiber,W,63 64
1,2005,Halle,"Halle, Germany",2005.06.06 - 2005.06.12,Outdoor,Grass,Florian Mayer,W,62 64
1,2005,Halle,"Halle, Germany",2005.06.06 - 2005.06.12,Outdoor,Grass,Robin Soderling,W,67(5) 76(6) 64
1,2005,Roland Garros,"Paris, France",2005.05.23 - 2005.06.05,Outdoor,Clay,Rafael Nadal,L,36 64 46 36
1,2005,Roland Garros,"Paris, France",2005.05.23 - 2005.06.05,Outdoor,Clay,Victor Hanescu,W,62 76(3) 63
1,2005,Roland Garros,"Paris, France",2005.05.23 - 2005.06.05,Outdoor,Clay,Carlos Moya,W,61 64 63
1,2005,Roland Garros,"Paris, France",2005.05.23 - 2005.06.05,Outdoor,Clay,Fernando Gonzalez,W,76(9) 75 62
1,2005,Roland Garros,"Paris, France",2005.05.23 - 2005.06.05,Outdoor,Clay,Nicolas Almagro,W,63 76 62
1,2005,Roland Garros,"Paris, France",2005.05.23 - 2005.06.05,Outdoor,Clay,Dudi Sela,W,61 64 60
1,2005,ATP World Tour Masters 1000 Hamburg,"Hamburg, Germany",2005.05.09 - 2005.05.15,Outdoor,Clay,Richard Gasquet,W,63 75 76(4) 
1,2005,ATP World Tour Masters 1000 Hamburg,"Hamburg, Germany",2005.05.09 - 2005.05.15,Outdoor,Clay,Nikolay Davydenko,W,63 64
1,2005,ATP World Tour Masters 1000 Hamburg,"Hamburg, Germany",2005.05.09 - 2005.05.15,Outdoor,Clay,Guillermo Coria,W,64 76(3) 
1,2005,ATP World Tour Masters 1000 Hamburg,"Hamburg, Germany",2005.05.09 - 2005.05.15,Outdoor,Clay,Tommy Robredo,W,62 63
1,2005,ATP World Tour Masters 1000 Hamburg,"Hamburg, Germany",2005.05.09 - 2005.05.15,Outdoor,Clay,Tomas Berdych,W,62 61
1,2005,ATP World Tour Masters 1000 Hamburg,"Hamburg, Germany",2005.05.09 - 2005.05.15,Outdoor,Clay,Fernando Verdasco,W,64 63
1,2005,ATP World Tour Masters 1000 Monte Carlo,"Monte Carlo, Monaco",2005.04.11 - 2005.04.17,Outdoor,Clay,Richard Gasquet,L,76(1) 26 67(8) 
1,2005,ATP World Tour Masters 1000 Monte Carlo,"Monte Carlo, Monaco",2005.04.11 - 2005.04.17,Outdoor,Clay,Fernando Gonzalez,W,62 67(3) 64
