player_ranking,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,opponent_name,match_win_loss,match_score
29,2001,Australian Open,"Melbourne, Australia",2001.01.15 - 2001.01.28,Outdoor,Hard,Nicolas Escude,W,61 64 64
29,2001,Australian Open,"Melbourne, Australia",2001.01.15 - 2001.01.28,Outdoor,Hard,Arnaud Di Pasquale,W,64 46 61 75
30,2001,Sydney,"Sydney, Australia",2001.01.08 - 2001.01.14,Outdoor,Hard,Sebastien Grosjean,L,57 46
30,2001,Sydney,"Sydney, Australia",2001.01.08 - 2001.01.14,Outdoor,Hard,Marc Rosset,W,61 62
30,2001,Sydney,"Sydney, Australia",2001.01.08 - 2001.01.14,Outdoor,Hard,Wayne Ferreira,W,63 64
6,2002,Tennis Masters Cup,"Shanghai, China",2002.11.11 - 2002.11.17,Indoor,Hard,Lleyton Hewitt,L,57 75 57
6,2002,Tennis Masters Cup,"Shanghai, China",2002.11.11 - 2002.11.17,Indoor,Hard,Thomas Johansson,W,63 75
6,2002,Tennis Masters Cup,"Shanghai, China",2002.11.11 - 2002.11.17,Indoor,Hard,Jiri Novak,W,60 46 62
6,2002,Tennis Masters Cup,"Shanghai, China",2002.11.11 - 2002.11.17,Indoor,Hard,Juan Carlos Ferrero,W,63 64
8,2002,ATP World Tour Masters 1000 Paris,"Paris, France",2002.10.28 - 2002.11.03,Indoor,Hard,Lleyton Hewitt,L,46 46
8,2002,ATP World Tour Masters 1000 Paris,"Paris, France",2002.10.28 - 2002.11.03,Indoor,Hard,Tommy Haas,W,62 76(2) 
8,2002,ATP World Tour Masters 1000 Paris,"Paris, France",2002.10.28 - 2002.11.03,Indoor,Hard,Xavier Malisse,W,62 64
8,2002,Basel,"Basel, Switzerland",2002.10.21 - 2002.10.27,Indoor,Carpet,David Nalbandian,L,76(2) 57 36
8,2002,Basel,"Basel, Switzerland",2002.10.21 - 2002.10.27,Indoor,Carpet,Andy Roddick,W,76(5) 61
8,2002,Basel,"Basel, Switzerland",2002.10.21 - 2002.10.27,Indoor,Carpet,Alexander Waske,W,63 76(1) 
